Search_method Problem Max_evals Run Score
rand_reset_10_times knapPI_11_20_1000_4 300000 0 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 1 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 2 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 3 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 4 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 5 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 6 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 7 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 8 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 9 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 10 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 11 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 12 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 13 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 14 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 15 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 16 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 17 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 18 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 19 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 20 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 21 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 22 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 23 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 24 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 25 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 26 1440
rand_reset_10_times knapPI_11_20_1000_4 300000 27 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 28 1400
rand_reset_10_times knapPI_11_20_1000_4 300000 29 1440
rand_reset_10_times knapPI_13_20_1000_4 300000 0 907
rand_reset_10_times knapPI_13_20_1000_4 300000 1 907
rand_reset_10_times knapPI_13_20_1000_4 300000 2 907
rand_reset_10_times knapPI_13_20_1000_4 300000 3 907
rand_reset_10_times knapPI_13_20_1000_4 300000 4 907
rand_reset_10_times knapPI_13_20_1000_4 300000 5 907
rand_reset_10_times knapPI_13_20_1000_4 300000 6 907
rand_reset_10_times knapPI_13_20_1000_4 300000 7 907
rand_reset_10_times knapPI_13_20_1000_4 300000 8 907
rand_reset_10_times knapPI_13_20_1000_4 300000 9 907
rand_reset_10_times knapPI_13_20_1000_4 300000 10 907
rand_reset_10_times knapPI_13_20_1000_4 300000 11 907
rand_reset_10_times knapPI_13_20_1000_4 300000 12 907
rand_reset_10_times knapPI_13_20_1000_4 300000 13 907
rand_reset_10_times knapPI_13_20_1000_4 300000 14 907
rand_reset_10_times knapPI_13_20_1000_4 300000 15 907
rand_reset_10_times knapPI_13_20_1000_4 300000 16 907
rand_reset_10_times knapPI_13_20_1000_4 300000 17 907
rand_reset_10_times knapPI_13_20_1000_4 300000 18 907
rand_reset_10_times knapPI_13_20_1000_4 300000 19 907
rand_reset_10_times knapPI_13_20_1000_4 300000 20 907
rand_reset_10_times knapPI_13_20_1000_4 300000 21 907
rand_reset_10_times knapPI_13_20_1000_4 300000 22 907
rand_reset_10_times knapPI_13_20_1000_4 300000 23 907
rand_reset_10_times knapPI_13_20_1000_4 300000 24 907
rand_reset_10_times knapPI_13_20_1000_4 300000 25 907
rand_reset_10_times knapPI_13_20_1000_4 300000 26 907
rand_reset_10_times knapPI_13_20_1000_4 300000 27 907
rand_reset_10_times knapPI_13_20_1000_4 300000 28 907
rand_reset_10_times knapPI_13_20_1000_4 300000 29 907
rand_reset_10_times knapPI_16_20_1000_4 300000 0 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 1 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 2 2682
rand_reset_10_times knapPI_16_20_1000_4 300000 3 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 4 2671
rand_reset_10_times knapPI_16_20_1000_4 300000 5 2675
rand_reset_10_times knapPI_16_20_1000_4 300000 6 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 7 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 8 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 9 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 10 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 11 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 12 2675
rand_reset_10_times knapPI_16_20_1000_4 300000 13 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 14 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 15 2886
rand_reset_10_times knapPI_16_20_1000_4 300000 16 2893
rand_reset_10_times knapPI_16_20_1000_4 300000 17 2886
